invoice_ID;branch;city;customer;gender;category;unit_price;quantity;tax;total;date;time;payment;cog;gross_margin_percent;gross_income;rating;time_of_day;year;month
101-17-6199;A;Yangon;Normal;Male;"Food and beverages";45.79;7;16.0265;336.5565;2019-03-13;19:44:00;"Credit card";320.530;4.761904762;16.02650;7.0;Night;03;2019
101-81-4070;C;Naypyitaw;Member;Female;"Health and beauty";62.82;2;6.2820;131.9220;2019-01-17;12:36:00;Ewallet;125.640;4.761904762;6.28200;4.9;Afternoon;01;2019
102-06-2002;C;Naypyitaw;Member;Male;"Sports and travel";25.25;5;6.3125;132.5625;2019-03-20;17:52:00;Cash;126.250;4.761904762;6.31250;6.1;Evening;03;2019
102-77-2261;C;Naypyitaw;Member;Male;"Health and beauty";65.31;7;22.8585;480.0285;2019-03-05;18:02:00;"Credit card";457.170;4.761904762;22.85850;4.2;Night;03;2019
105-10-6182;A;Yangon;Member;Male;"Fashion accessories";21.48;2;2.1480;45.1080;2019-02-27;12:22:00;Ewallet;42.960;4.761904762;2.14800;6.6;Afternoon;02;2019
105-31-1824;A;Yangon;Member;Male;"Sports and travel";69.52;7;24.3320;510.9720;2019-02-01;15:10:00;"Credit card";486.640;4.761904762;24.33200;8.5;Evening;02;2019
106-35-6779;A;Yangon;Member;Male;"Home and lifestyle";44.34;2;4.4340;93.1140;2019-03-27;11:26:00;Cash;88.680;4.761904762;4.43400;5.8;Morning;03;2019
109-28-2512;B;Mandalay;Member;Female;"Fashion accessories";97.61;6;29.2830;614.9430;2019-01-07;15:01:00;Ewallet;585.660;4.761904762;29.28300;9.9;Evening;01;2019
109-86-4363;B;Mandalay;Member;Female;"Sports and travel";60.08;7;21.0280;441.5880;2019-02-14;11:36:00;"Credit card";420.560;4.761904762;21.02800;4.5;Morning;02;2019
110-05-6330;C;Naypyitaw;Normal;Female;"Food and beverages";39.43;6;11.8290;248.4090;2019-03-25;20:18:00;"Credit card";236.580;4.761904762;11.82900;9.4;Night;03;2019
110-48-7033;B;Mandalay;Member;Male;"Fashion accessories";32.62;4;6.5240;137.0040;2019-01-29;14:12:00;Cash;130.480;4.761904762;6.52400;9.0;Afternoon;01;2019
114-35-5271;B;Mandalay;Normal;Female;"Electronic accessories";57.91;8;23.1640;486.4440;2019-02-07;15:06:00;Cash;463.280;4.761904762;23.16400;8.1;Evening;02;2019
115-38-7388;C;Naypyitaw;Member;Female;"Fashion accessories";10.18;8;4.0720;85.5120;2019-03-30;12:51:00;"Credit card";81.440;4.761904762;4.07200;9.5;Afternoon;03;2019
115-99-4379;B;Mandalay;Member;Female;"Fashion accessories";54.73;7;19.1555;402.2655;2019-03-14;19:02:00;"Credit card";383.110;4.761904762;19.15550;8.5;Night;03;2019
118-62-1812;C;Naypyitaw;Member;Female;"Home and lifestyle";78.38;4;15.6760;329.1960;2019-03-24;17:56:00;Cash;313.520;4.761904762;15.67600;7.9;Evening;03;2019
120-06-4233;C;Naypyitaw;Normal;Male;"Electronic accessories";30.61;6;9.1830;192.8430;2019-03-12;20:36:00;Cash;183.660;4.761904762;9.18300;9.3;Night;03;2019
120-54-2248;B;Mandalay;Normal;Female;"Food and beverages";28.86;5;7.2150;151.5150;2019-01-22;18:08:00;"Credit card";144.300;4.761904762;7.21500;8.0;Night;01;2019
122-61-9553;C;Naypyitaw;Normal;Female;"Electronic accessories";51.32;9;23.0940;484.9740;2019-03-14;19:33:00;Cash;461.880;4.761904762;23.09400;5.6;Night;03;2019
